;;Transport, exports;Travel, exports;Telecommunications, exports;Intellectual property charges, exports;Other services exports;Total, exports;Transport, imports;Travel, imports;Telecommunications, imports;Intellectual property charges, imports;Other services imports;Total, imports;services balance
Euro area services balance;Q1 2019;1.3;1.0;1.3;0.6;3.6;7.8;-1.2;-0.8;-0.6;-0.9;-3.3;-6.9;0.9
;Q2 2019;1.4;1.5;1.4;0.7;3.6;8.5;-1.2;-1.0;-0.6;-1.0;-4.8;-8.5;-0.1
;Q3 2019;1.5;2.0;1.4;0.6;3.6;9.0;-1.2;-1.3;-0.6;-0.9;-3.4;-7.5;1.5
;Q4 2019;1.3;1.1;1.6;0.7;3.9;8.6;-1.2;-0.9;-0.7;-1.0;-6.0;-9.7;-1.1
;Q1 2020;1.2;0.9;1.4;0.7;3.7;7.9;-1.2;-0.8;-0.7;-1.1;-5.8;-9.5;-1.6
;Q2 2020;1.1;0.2;1.5;0.7;3.9;7.5;-1.1;-0.2;-0.7;-1.1;-3.9;-7.0;0.5
;Q3 2020;1.1;0.6;1.4;0.6;3.5;7.2;-1.0;-0.4;-0.7;-0.9;-3.4;-6.4;0.8
;Q4 2020;1.1;0.3;1.8;0.7;4.0;7.8;-1.1;-0.2;-0.7;-1.3;-4.1;-7.3;0.5
;Q1 2021;1.2;0.2;1.6;0.6;3.6;7.3;-1.2;-0.2;-0.7;-1.1;-3.6;-6.7;0.6
;Q2 2021;1.3;0.4;1.7;0.7;3.7;7.8;-1.2;-0.3;-0.7;-1.1;-3.6;-6.9;0.9
;Q3 2021;1.5;0.9;1.7;0.7;3.7;8.5;-1.3;-0.6;-0.7;-1.2;-3.6;-7.4;1.1
;Q4 2021;1.6;0.7;1.9;0.7;4.0;8.9;-1.4;-0.4;-0.7;-1.4;-4.4;-8.4;0.6
;Q1 2022;1.6;0.7;1.8;0.7;3.8;8.6;-1.5;-0.5;-0.7;-1.3;-3.7;-7.7;0.9
Austria services balance;Q1 2019;4.0;7.6;1.8;0.3;5.6;19.3;-4.1;-1.8;-1.7;-0.4;-5.6;-13.6;5.6
;Q2 2019;4.1;3.5;1.8;0.3;5.5;15.1;-4.1;-2.7;-1.6;-0.7;-5.9;-15.1;0.0
;Q3 2019;4.2;5.7;1.8;0.3;5.4;17.4;-4.3;-4.0;-1.7;-0.4;-5.7;-16.1;1.3
;Q4 2019;3.8;4.0;2.2;0.4;6.6;17.0;-4.0;-1.9;-1.9;-0.4;-6.4;-14.5;2.5
;Q1 2020;4.0;6.9;2.0;0.3;5.7;19.0;-4.0;-1.6;-1.8;-0.4;-6.0;-13.7;5.2
;Q2 2020;3.4;0.8;2.0;0.3;5.5;12.0;-3.6;-0.3;-2.0;-0.4;-5.8;-12.0;0.0
;Q3 2020;3.6;4.2;1.8;0.3;5.1;15.1;-3.5;-1.6;-1.7;-0.3;-5.6;-12.8;2.3
;Q4 2020;3.7;0.8;2.4;0.4;6.5;13.8;-3.7;-0.6;-2.0;-0.4;-6.3;-13.0;0.8
;Q1 2021;3.8;0.4;2.0;0.3;5.9;12.5;-3.9;-0.4;-2.0;-0.3;-5.9;-12.5;0.0
;Q2 2021;3.8;1.2;2.0;0.4;5.8;13.3;-4.0;-1.0;-1.8;-0.3;-6.2;-13.3;0.0
;Q3 2021;4.1;4.8;1.9;0.3;5.8;16.8;-4.1;-3.7;-1.8;-0.3;-5.7;-15.6;1.2
;Q4 2021;4.4;2.0;2.2;0.4;7.0;16.0;-4.2;-1.5;-2.1;-0.4;-6.3;-14.6;1.4
;Q1 2022;4.3;5.1;2.0;0.3;5.6;17.4;-4.4;-1.4;-2.0;-0.4;-5.7;-13.8;3.4
Belgium services balance;Q1 2019;4.8;1.5;2.8;0.6;13.3;23.0;-5.1;-2.8;-2.0;-0.6;-11.9;-22.4;0.6
;Q2 2019;4.5;1.5;2.4;0.5;12.5;21.5;-4.9;-3.4;-1.9;-0.6;-11.6;-22.3;-0.9
;Q3 2019;4.7;2.0;2.6;1.1;13.3;23.6;-4.8;-4.8;-1.9;-0.6;-11.4;-23.4;0.2
;Q4 2019;4.9;1.7;2.8;0.7;14.6;24.7;-4.9;-3.1;-2.1;-0.7;-13.4;-24.3;0.4
;Q1 2020;4.9;1.6;3.2;0.7;13.6;24.0;-4.9;-2.6;-2.2;-0.8;-12.5;-23.0;1.0
;Q2 2020;5.4;1.0;2.9;1.0;14.1;24.4;-4.8;-1.9;-2.3;-0.5;-13.6;-23.1;1.3
;Q3 2020;4.6;1.4;2.5;0.6;13.1;22.2;-4.4;-3.5;-2.3;-0.6;-11.8;-22.6;-0.4
;Q4 2020;4.4;1.1;2.8;0.9;13.5;22.7;-4.5;-1.9;-2.4;-0.6;-13.5;-22.9;-0.2
;Q1 2021;4.5;0.8;3.0;0.6;13.5;22.6;-4.7;-1.3;-2.4;-0.5;-12.0;-20.9;1.7
;Q2 2021;4.8;1.1;2.6;0.5;12.9;22.0;-4.9;-1.8;-2.4;-0.5;-11.3;-21.0;1.0
;Q3 2021;4.8;1.3;3.2;0.8;13.3;23.5;-5.3;-4.5;-2.5;-0.6;-11.0;-23.9;-0.4
;Q4 2021;4.9;1.1;3.0;0.6;13.6;23.2;-5.3;-2.2;-2.5;-0.6;-13.4;-23.9;-0.7
;Q1 2022;4.9;1.1;2.9;0.6;12.9;22.4;-5.3;-2.2;-2.3;-0.5;-10.8;-21.2;1.2
Cyprus services balance;Q1 2019;14.8;4.2;11.9;1.4;20.3;52.6;-8.8;-5.4;-10.6;-0.8;-16.9;-42.5;10.1
;Q2 2019;14.5;14.9;10.8;1.4;20.3;61.8;-9.4;-6.1;-7.3;-1.3;-14.3;-38.2;23.5
;Q3 2019;15.0;21.7;9.5;1.5;20.9;68.5;-11.0;-8.7;-8.2;-0.8;-15.1;-43.9;24.6
;Q4 2019;15.5;9.0;12.3;2.4;25.9;65.1;-9.7;-5.1;-7.7;-1.0;-19.3;-42.9;22.2
;Q1 2020;13.5;2.8;12.3;2.4;27.7;58.6;-8.2;-4.6;-11.3;-1.4;-21.6;-47.0;11.6
;Q2 2020;14.7;1.2;12.6;2.0;31.9;62.4;-8.2;-1.6;-11.3;-0.9;-24.7;-46.7;15.8
;Q3 2020;13.1;4.1;10.2;1.7;27.5;56.7;-7.7;-3.0;-8.5;-0.8;-22.2;-42.2;14.5
;Q4 2020;14.0;2.9;21.1;1.7;30.9;70.7;-7.7;-2.1;-10.9;-0.9;-24.3;-45.9;24.8
;Q1 2021;13.7;0.9;12.1;2.4;30.4;59.4;-7.4;-1.9;-7.0;-1.0;-24.4;-41.7;17.7
;Q2 2021;13.4;4.9;15.4;2.2;30.0;65.8;-8.3;-2.9;-14.1;-0.8;-23.2;-49.3;16.6
;Q3 2021;13.4;13.9;12.8;2.2;27.6;69.9;-8.5;-5.5;-11.0;-1.0;-21.7;-47.8;22.1
;Q4 2021;12.8;8.6;15.7;1.8;28.0;67.0;-7.9;-3.6;-12.0;-0.8;-21.9;-46.2;20.8
;Q1 2022;12.7;2.8;18.4;2.3;29.7;65.8;-8.2;-4.6;-15.0;-0.8;-23.9;-52.4;13.4
Germany services balance;Q1 2019;1.7;0.9;0.8;1.0;4.3;8.7;-1.8;-1.7;-1.1;-0.4;-3.8;-8.8;-0.1
;Q2 2019;1.9;1.1;0.9;1.0;4.4;9.2;-1.8;-2.3;-1.1;-0.4;-3.8;-9.5;-0.3
;Q3 2019;1.9;1.2;0.8;0.8;4.3;9.0;-1.8;-3.4;-1.0;-0.5;-3.7;-10.4;-1.4
;Q4 2019;1.7;1.0;1.0;1.0;4.9;9.7;-1.7;-2.2;-1.4;-0.4;-4.3;-10.0;-0.4
;Q1 2020;1.6;0.8;0.8;1.0;4.4;8.6;-1.7;-1.7;-1.1;-0.5;-3.9;-8.8;-0.3
;Q2 2020;1.4;0.4;0.9;1.0;4.4;8.0;-1.7;-0.3;-1.1;-0.4;-3.8;-7.3;0.7
;Q3 2020;1.3;0.7;0.8;0.8;3.9;7.6;-1.6;-1.6;-1.0;-0.4;-3.6;-8.2;-0.7
;Q4 2020;1.4;0.4;1.1;1.0;4.7;8.6;-1.7;-0.4;-1.2;-0.4;-4.2;-8.0;0.6
;Q1 2021;1.5;0.3;0.9;1.1;4.2;8.0;-1.9;-0.3;-1.2;-0.5;-3.8;-7.6;0.4
;Q2 2021;1.8;0.4;1.0;1.4;4.3;8.8;-2.0;-0.6;-1.1;-0.4;-3.8;-8.0;0.7
;Q3 2021;2.0;0.7;0.9;1.5;4.1;9.2;-2.3;-2.3;-1.1;-0.5;-3.9;-10.1;-0.9
;Q4 2021;2.2;0.6;1.1;1.5;4.9;10.3;-2.7;-1.2;-1.3;-0.5;-4.7;-10.4;-0.1
;Q1 2022;2.2;0.5;0.9;1.3;4.3;9.2;-2.8;-1.0;-1.2;-0.4;-4.0;-9.4;-0.3
Estonia services balance;Q1 2019;7.3;3.9;3.1;0.0;8.4;22.8;-5.5;-4.1;-1.9;-0.2;-5.0;-16.8;6.0
;Q2 2019;7.6;6.8;3.3;0.0;9.4;27.1;-5.7;-5.4;-1.9;-0.2;-5.4;-18.6;8.5
;Q3 2019;7.9;7.1;3.2;0.1;10.1;28.3;-6.0;-6.1;-2.0;-0.2;-5.6;-19.9;8.4
;Q4 2019;6.8;4.5;3.8;0.1;10.1;25.3;-5.8;-4.3;-2.4;-0.2;-5.6;-18.3;7.0
;Q1 2020;6.7;3.4;3.6;0.1;10.3;24.1;-5.3;-3.7;-2.4;-0.2;-5.0;-16.6;7.6
;Q2 2020;5.6;1.0;3.5;0.1;9.2;19.4;-5.0;-1.0;-2.3;-0.2;-4.3;-12.9;6.5
;Q3 2020;5.9;2.4;3.3;0.0;9.6;21.2;-4.7;-2.0;-6.7;-0.2;-5.2;-18.7;2.4
;Q4 2020;5.0;1.1;4.2;0.1;10.3;20.6;-4.5;-1.1;-19.9;-0.2;-5.6;-31.3;-10.7
;Q1 2021;7.7;1.2;5.7;0.2;10.2;25.0;-6.1;-1.1;-12.4;-0.2;-5.7;-25.5;-0.6
;Q2 2021;7.8;1.4;5.6;0.3;11.0;26.1;-6.5;-1.5;-12.1;-0.2;-5.7;-26.0;0.1
;Q3 2021;8.2;2.2;5.3;0.2;11.1;27.0;-7.3;-2.6;-4.7;-0.2;-5.6;-20.4;6.5
;Q4 2021;8.0;2.1;6.5;3.1;10.7;30.3;-7.2;-2.1;-4.2;-0.3;-6.4;-20.1;10.2
;Q1 2022;7.3;2.3;6.1;0.1;9.5;25.4;-7.1;-2.2;-3.9;-0.2;-5.8;-19.2;6.2
Spain services balance;Q1 2019;1.3;3.9;1.0;0.2;2.6;9.0;-0.9;-1.5;-0.6;-0.5;-2.1;-5.6;3.4
;Q2 2019;1.4;6.1;1.0;0.2;2.7;11.5;-0.9;-1.6;-0.5;-0.5;-2.2;-5.7;5.8
;Q3 2019;1.4;8.6;1.1;0.2;2.9;14.2;-0.9;-2.9;-0.6;-0.5;-2.3;-7.2;7.0
;Q4 2019;1.3;4.3;1.2;0.4;3.2;10.4;-0.9;-2.0;-0.6;-0.5;-2.3;-6.3;4.1
;Q1 2020;1.3;3.1;1.0;0.2;3.0;8.6;-0.9;-1.3;-0.6;-0.4;-2.2;-5.5;3.1
;Q2 2020;1.2;0.1;0.8;0.2;3.3;5.5;-0.8;-0.1;-0.7;-0.4;-2.2;-4.1;1.5
;Q3 2020;1.3;1.9;0.9;0.2;3.0;7.3;-0.8;-0.8;-0.6;-0.3;-2.0;-4.6;2.7
;Q4 2020;1.2;0.6;0.9;0.3;3.5;6.6;-0.8;-0.4;-0.8;-0.5;-2.3;-4.8;1.8
;Q1 2021;1.1;0.4;0.9;0.2;3.0;5.7;-0.9;-0.2;-0.7;-0.4;-2.1;-4.4;1.4
;Q2 2021;1.2;1.3;0.9;0.3;3.3;7.0;-0.9;-0.7;-0.7;-0.4;-2.1;-4.8;2.2
;Q3 2021;1.3;4.6;1.0;0.3;3.3;10.4;-1.0;-1.4;-0.7;-0.4;-2.1;-5.7;4.8
;Q4 2021;1.3;3.3;1.2;0.3;3.9;9.9;-1.1;-1.1;-0.8;-0.4;-2.3;-5.6;4.3
;Q1 2022;1.3;3.1;1.0;0.3;3.5;9.3;-1.1;-0.6;-0.7;-0.4;-2.3;-5.2;4.1
Finland services balance;Q1 2019;1.7;1.5;4.0;1.2;4.0;12.4;-2.6;-1.9;-1.9;-0.4;-7.1;-13.9;-1.5
;Q2 2019;1.9;1.2;4.0;1.8;3.8;12.7;-2.6;-2.1;-1.7;-0.3;-6.5;-13.3;-0.6
;Q3 2019;2.2;1.7;4.5;1.1;3.6;13.1;-2.6;-2.4;-1.5;-0.3;-6.4;-13.3;-0.2
;Q4 2019;1.8;1.2;4.8;1.2;4.0;13.1;-2.4;-2.1;-1.9;-0.5;-7.2;-14.0;-1.0
;Q1 2020;1.5;1.2;4.2;1.1;3.7;11.8;-2.4;-1.7;-2.1;-0.4;-7.3;-13.9;-2.1
;Q2 2020;1.0;0.1;4.3;1.1;3.5;9.9;-2.1;-0.2;-2.0;-0.4;-6.9;-11.7;-1.8
;Q3 2020;1.0;0.3;4.2;1.0;3.1;9.7;-2.1;-0.4;-1.7;-0.4;-6.5;-11.2;-1.5
;Q4 2020;1.0;0.2;6.3;1.2;3.9;12.6;-2.1;-0.2;-2.1;-0.5;-7.0;-11.9;0.7
;Q1 2021;1.1;0.1;4.5;1.1;3.3;10.2;-2.1;-0.1;-2.1;-0.4;-6.9;-11.6;-1.4
;Q2 2021;1.1;0.2;4.1;1.2;3.4;10.0;-2.2;-0.2;-1.8;-0.4;-6.7;-11.3;-1.3
;Q3 2021;1.3;0.5;4.7;1.1;3.1;10.7;-2.4;-0.7;-1.7;-0.3;-6.9;-11.9;-1.2
;Q4 2021;1.5;0.7;6.5;1.2;3.9;13.7;-2.5;-0.8;-1.9;-0.5;-7.9;-13.6;0.1
;Q1 2022;1.4;0.7;4.2;1.0;3.4;10.7;-2.9;-0.9;-2.0;-0.3;-7.0;-13.1;-2.4
France services balance;Q1 2019;1.6;1.6;0.7;0.6;5.5;10.1;-1.9;-1.5;-0.9;-0.5;-4.6;-9.4;0.6
;Q2 2019;1.7;2.4;0.7;0.6;5.3;10.7;-1.9;-1.9;-0.9;-0.4;-4.6;-9.8;0.9
;Q3 2019;1.8;3.4;0.7;0.5;5.4;11.8;-1.9;-2.5;-0.9;-0.5;-4.6;-10.3;1.4
;Q4 2019;1.7;1.9;0.7;0.6;5.9;10.8;-1.8;-1.5;-0.9;-0.4;-5.0;-9.6;1.2
;Q1 2020;1.6;1.4;0.8;0.5;5.0;9.4;-1.8;-1.4;-1.1;-0.5;-4.3;-9.1;0.2
;Q2 2020;1.6;0.7;0.9;0.6;5.4;9.1;-1.7;-0.7;-1.1;-0.5;-4.7;-8.7;0.5
;Q3 2020;1.5;1.9;0.7;0.5;5.0;9.5;-1.5;-1.3;-1.0;-0.4;-4.0;-8.3;1.3
;Q4 2020;1.8;0.8;0.8;0.5;5.3;9.2;-1.6;-0.8;-1.0;-0.4;-4.3;-8.0;1.2
;Q1 2021;2.0;0.7;0.8;0.6;4.8;8.9;-1.7;-0.7;-1.1;-0.5;-4.5;-8.5;0.4
;Q2 2021;2.1;1.0;0.8;0.5;5.0;9.4;-1.7;-0.9;-1.0;-0.4;-4.1;-8.2;1.2
;Q3 2021;2.6;2.4;0.8;0.5;4.9;11.1;-1.7;-1.8;-1.1;-0.4;-4.2;-9.1;2.0
;Q4 2021;2.7;1.5;0.8;0.6;5.7;11.3;-1.8;-1.3;-1.0;-0.5;-4.5;-9.1;2.2
;Q1 2022;2.9;1.4;0.8;0.5;5.2;10.8;-2.0;-1.2;-1.1;-0.4;-4.3;-9.1;1.8
Greece services balance;Q1 2019;9.6;1.8;0.7;0.1;2.0;14.1;-6.2;-1.4;-0.5;-0.1;-2.3;-10.5;3.6
;Q2 2019;9.1;10.1;0.4;0.0;1.8;21.4;-5.9;-1.6;-0.4;-0.1;-1.9;-9.9;11.4
;Q3 2019;9.5;21.4;0.6;0.0;1.7;33.2;-6.0;-1.4;-0.3;-0.2;-2.0;-9.8;23.4
;Q4 2019;9.7;4.5;0.8;0.0;2.2;17.2;-6.7;-1.6;-0.5;-0.2;-2.4;-11.4;5.9
;Q1 2020;9.7;1.5;0.6;0.0;2.1;13.8;-6.9;-1.0;-0.5;-0.2;-2.5;-11.0;2.8
;Q2 2020;9.1;0.4;0.6;0.0;2.1;12.2;-6.3;-0.2;-0.5;-0.2;-2.2;-9.4;2.7
;Q3 2020;7.6;6.6;0.5;0.0;1.9;16.7;-5.6;-0.4;-0.4;-0.1;-2.0;-8.6;8.1
;Q4 2020;7.2;1.6;0.7;0.0;2.5;12.0;-5.2;-0.3;-0.5;-0.2;-2.2;-8.4;3.6
;Q1 2021;8.9;0.3;0.7;0.0;2.4;12.3;-6.8;-0.2;-0.5;-0.2;-2.8;-10.5;1.9
;Q2 2021;9.8;2.5;0.7;0.0;2.4;15.3;-8.0;-0.5;-0.5;-0.1;-2.8;-11.9;3.4
;Q3 2021;10.6;14.8;0.6;0.0;2.4;28.3;-8.7;-0.8;-0.4;-0.2;-2.4;-12.4;15.9
